%time,field.header.seq,field.header.stamp,field.header.frame_id,field.temperature,field.variance
1481561747798038599,332,1481561747793402995,,10.0,0.0
1481561747815374876,333,1481561747813488218,,10.0,0.0
1481561747835001247,334,1481561747833392817,,10.0,0.0
1481561747855608551,335,1481561747853366426,,10.0,0.0
1481561747874956173,336,1481561747873088681,,10.0,0.0
1481561747894894991,337,1481561747893169582,,10.0,0.0
1481561747914482247,338,1481561747913109857,,10.0,0.0
1481561747934644657,339,1481561747933328361,,10.0,0.0
1481561747954556756,340,1481561747953065252,,10.0,0.0
1481561747974291251,341,1481561747973200840,,10.0,0.0
1481561747994339756,342,1481561747993107782,,10.0,0.0
1481561748014334563,343,1481561748013278422,,10.0,0.0
1481561748035526864,344,1481561748034330828,,10.0,0.0
1481561748058831239,345,1481561748053877407,,10.0,0.0
1481561748075219552,346,1481561748073309404,,10.0,0.0
1481561748099692464,347,1481561748093364627,,10.0,0.0
1481561748114678022,348,1481561748113377403,,10.0,0.0
1481561748134657777,349,1481561748133341793,,10.0,0.0
1481561748155724558,350,1481561748154404720,,10.0,0.0
1481561748176539465,351,1481561748175030826,,10.0,0.0
1481561748194964018,352,1481561748193321786,,10.0,0.0
1481561748214655649,353,1481561748213356593,,10.0,0.0
1481561748240135900,354,1481561748233339212,,10.0,0.0
1481561748254688492,355,1481561748253436675,,10.0,0.0
1481561748275762773,356,1481561748274418716,,10.0,0.0
1481561748295716174,357,1481561748293837432,,10.0,0.0
1481561748314697079,358,1481561748313362345,,10.0,0.0
1481561748334494751,359,1481561748333371787,,10.0,0.0
1481561748354536537,360,1481561748353331594,,10.0,0.0
1481561748374454573,361,1481561748373333380,,10.0,0.0
1481561748395304428,362,1481561748394209329,,10.0,0.0
1481561748415529025,363,1481561748413372212,,10.0,0.0
1481561748435597686,364,1481561748433782434,,10.0,0.0
1481561748455013849,365,1481561748453267191,,10.0,0.0
1481561748475540321,366,1481561748473084290,,10.0,0.0
1481561748495245285,367,1481561748493120867,,10.0,0.0
1481561748515150977,368,1481561748513109216,,10.0,0.0
1481561748534953337,369,1481561748533156730,,10.0,0.0
1481561748555193143,370,1481561748553095340,,10.0,0.0
1481561748574683473,371,1481561748573235719,,10.0,0.0
1481561748595706556,372,1481561748593083026,,10.0,0.0
1481561748616697244,373,1481561748613080645,,10.0,0.0
1481561748636773404,374,1481561748634823778,,10.0,0.0
1481561748662177874,375,1481561748654839418,,10.0,0.0
1481561748677979887,376,1481561748674517924,,10.0,0.0
1481561748696093036,377,1481561748694391064,,10.0,0.0
1481561748719107465,378,1481561748715394148,,10.0,0.0
1481561748740214610,379,1481561748734649062,,10.0,0.0
1481561748755520063,380,1481561748753116376,,10.0,0.0
1481561748775755702,381,1481561748773132745,,10.0,0.0
1481561748795589468,382,1481561748793058646,,10.0,0.0
1481561748815284172,383,1481561748813086577,,10.0,0.0
1481561748835954861,384,1481561748833294143,,10.0,0.0
1481561748856266333,385,1481561748853312231,,10.0,0.0
1481561748876410722,386,1481561748873159851,,10.0,0.0
1481561748897359639,387,1481561748893077471,,10.0,0.0
1481561748915737370,388,1481561748913058840,,10.0,0.0
1481561748935481865,389,1481561748933112761,,10.0,0.0
1481561748956417709,390,1481561748953171370,,10.0,0.0
1481561748976138090,391,1481561748973309509,,10.0,0.0
1481561748996565239,392,1481561748993230566,,10.0,0.0
1481561749015143542,393,1481561749013128134,,10.0,0.0
1481561749039330309,394,1481561749033335075,,10.0,0.0
1481561749054707011,395,1481561749053333007,,10.0,0.0
1481561749074680985,396,1481561749073331668,,10.0,0.0
1481561749094746104,397,1481561749093365693,,10.0,0.0
1481561749114731952,398,1481561749113383781,,10.0,0.0
1481561749136026336,399,1481561749134495979,,10.0,0.0
1481561749156548849,400,1481561749155051877,,10.0,0.0
1481561749176852040,401,1481561749174149448,,10.0,0.0
1481561749201821772,402,1481561749193596861,,10.0,0.0
1481561749215399889,403,1481561749213518335,,10.0,0.0
1481561749236864533,404,1481561749234632720,,10.0,0.0
1481561749257553347,405,1481561749255313565,,10.0,0.0
1481561749277470185,406,1481561749273601869,,10.0,0.0
1481561749295545886,407,1481561749293593603,,10.0,0.0
1481561749315991472,408,1481561749313409765,,10.0,0.0
1481561749336332163,409,1481561749334602275,,10.0,0.0
1481561749358308523,410,1481561749356594833,,10.0,0.0
1481561749377724166,411,1481561749376250631,,10.0,0.0
1481561749398699125,412,1481561749397252673,,10.0,0.0
1481561749419349762,413,1481561749417462739,,10.0,0.0
1481561749439275090,414,1481561749435243337,,10.0,0.0
1481561749459044845,415,1481561749455133040,,10.0,0.0
1481561749477631013,416,1481561749475198211,,10.0,0.0
1481561749498861491,417,1481561749496816500,,10.0,0.0
1481561749519573222,418,1481561749517744428,,10.0,0.0
1481561749539970735,419,1481561749537567308,,10.0,0.0
1481561749559207889,420,1481561749558033102,,10.0,0.0
1481561749578811031,421,1481561749575146516,,10.0,0.0
1481561749597690269,422,1481561749595189395,,10.0,0.0
1481561749618805227,423,1481561749615223368,,10.0,0.0
1481561749638860555,424,1481561749636089734,,10.0,0.0
1481561749660729155,425,1481561749658323593,,10.0,0.0
1481561749680526150,426,1481561749678191838,,10.0,0.0
1481561749699756898,427,1481561749697604251,,10.0,0.0
1481561749719730090,428,1481561749717947963,,10.0,0.0
1481561749739887448,429,1481561749736829389,,10.0,0.0
1481561749759414966,430,1481561749755288317,,10.0,0.0
1481561749777734832,431,1481561749775181354,,10.0,0.0
1481561749797561410,432,1481561749794933870,,10.0,0.0
1481561749819303345,433,1481561749816812731,,10.0,0.0
1481561749839325130,434,1481561749837201077,,10.0,0.0
1481561749861674666,435,1481561749859211031,,10.0,0.0
1481561749880648436,436,1481561749877796938,,10.0,0.0
1481561749900264807,437,1481561749898648824,,10.0,0.0
1481561749920480706,438,1481561749918991911,,10.0,0.0
1481561749941047854,439,1481561749936114335,,10.0,0.0
1481561749958239965,440,1481561749955673779,,10.0,0.0
1481561749979349507,441,1481561749977177798,,10.0,0.0
1481561750002787319,442,1481561750000902275,,10.0,0.0
1481561750020643437,443,1481561750018339802,,10.0,0.0
1481561750038589764,444,1481561750035211081,,10.0,0.0
1481561750061152684,445,1481561750055355314,,10.0,0.0
1481561750079476352,446,1481561750077188290,,10.0,0.0
1481561750099193192,447,1481561750096828827,,10.0,0.0
1481561750124781723,448,1481561750123424229,,10.0,0.0
1481561750135574800,449,1481561750133224290,,10.0,0.0
1481561750156828664,450,1481561750153200243,,10.0,0.0
1481561750176768263,451,1481561750173127706,,10.0,0.0
1481561750194888546,452,1481561750193077825,,10.0,0.0
1481561750214974863,453,1481561750213154819,,10.0,0.0
1481561750235991436,454,1481561750233101814,,10.0,0.0
1481561750255091768,455,1481561750253197766,,10.0,0.0
1481561750276257351,456,1481561750273581998,,10.0,0.0
1481561750297425746,457,1481561750293082484,,10.0,0.0
1481561750316401026,458,1481561750313377029,,10.0,0.0
1481561750338919728,459,1481561750336435155,,10.0,0.0
1481561750357250948,460,1481561750354841532,,10.0,0.0
1481561750376015865,461,1481561750373372751,,10.0,0.0
1481561750395011978,462,1481561750393084591,,10.0,0.0
1481561750415488293,463,1481561750413120856,,10.0,0.0
1481561750435214872,464,1481561750433068475,,10.0,0.0
1481561750455291866,465,1481561750453187031,,10.0,0.0
1481561750475713285,466,1481561750473302358,,10.0,0.0
1481561750495013459,467,1481561750493057270,,10.0,0.0
1481561750516582947,468,1481561750513055827,,10.0,0.0
1481561750535337186,469,1481561750533233654,,10.0,0.0
1481561750555636835,470,1481561750553183304,,10.0,0.0
1481561750576428982,471,1481561750573255871,,10.0,0.0
1481561750595750667,472,1481561750593285886,,10.0,0.0
1481561750616110889,473,1481561750613083558,,10.0,0.0
1481561750635305178,474,1481561750633113521,,10.0,0.0
1481561750655631806,475,1481561750653255202,,10.0,0.0
1481561750675523645,476,1481561750673143343,,10.0,0.0
1481561750695531837,477,1481561750693518461,,10.0,0.0
1481561750716447473,478,1481561750713479465,,10.0,0.0
1481561750735629731,479,1481561750733197711,,10.0,0.0
1481561750756259483,480,1481561750753382933,,10.0,0.0
1481561750775658407,481,1481561750773371907,,10.0,0.0
1481561750795680558,482,1481561750793425776,,10.0,0.0
1481561750815698906,483,1481561750813476103,,10.0,0.0
1481561750837561465,484,1481561750833350546,,10.0,0.0
1481561750855202324,485,1481561750853396707,,10.0,0.0
1481561750875961189,486,1481561750873378284,,10.0,0.0
1481561750895983600,487,1481561750893422830,,10.0,0.0
1481561750916204916,488,1481561750913464252,,10.0,0.0
1481561750936101494,489,1481561750933582235,,10.0,0.0
1481561750956261040,490,1481561750953563604,,10.0,0.0
1481561750976031421,491,1481561750973476276,,10.0,0.0
1481561750997063931,492,1481561750993368531,,10.0,0.0
1481561751017430663,493,1481561751013364275,,10.0,0.0
1481561751035613343,494,1481561751033639966,,10.0,0.0
1481561751055733826,495,1481561751053141286,,10.0,0.0
1481561751075307958,496,1481561751073136249,,10.0,0.0
1481561751095525941,497,1481561751093230430,,10.0,0.0
1481561751115412623,498,1481561751113265080,,10.0,0.0
1481561751136422790,499,1481561751133329991,,10.0,0.0
1481561751154522449,500,1481561751153114486,,10.0,0.0
1481561751176459122,501,1481561751173093564,,10.0,0.0
1481561751196162471,502,1481561751194240865,,10.0,0.0
1481561751216053164,503,1481561751214264370,,10.0,0.0
1481561751236214064,504,1481561751234194854,,10.0,0.0
1481561751256182256,505,1481561751254142161,,10.0,0.0
1481561751275955293,506,1481561751274096603,,10.0,0.0
1481561751297205250,507,1481561751294536460,,10.0,0.0
1481561751319897545,508,1481561751315106421,,10.0,0.0
1481561751339541833,509,1481561751335910182,,10.0,0.0
1481561751357528784,510,1481561751355284471,,10.0,0.0
1481561751378574367,511,1481561751375178549,,10.0,0.0
1481561751398162509,512,1481561751394969086,,10.0,0.0
1481561751419747621,513,1481561751414958945,,10.0,0.0
1481561751439374409,514,1481561751435378333,,10.0,0.0
1481561751458045263,515,1481561751455367723,,10.0,0.0
1481561751477568666,516,1481561751475864819,,10.0,0.0
1481561751497911804,517,1481561751494901401,,10.0,0.0
1481561751516692710,518,1481561751514551313,,10.0,0.0
1481561751540620989,519,1481561751535309815,,10.0,0.0
1481561751557663621,520,1481561751554996289,,10.0,0.0
1481561751578849204,521,1481561751576038592,,10.0,0.0
1481561751597293393,522,1481561751594912883,,10.0,0.0
1481561751617435699,523,1481561751614758107,,10.0,0.0
1481561751635353484,524,1481561751634060885,,10.0,0.0
1481561751667035374,525,1481561751662167010,,10.0,0.0
1481561751675617367,526,1481561751673703313,,10.0,0.0
1481561751697385811,527,1481561751693669943,,10.0,0.0
1481561751714958233,528,1481561751713628031,,10.0,0.0
1481561751736230326,529,1481561751733658462,,10.0,0.0
1481561751755236439,530,1481561751753884935,,10.0,0.0
1481561751777886390,531,1481561751775972493,,10.0,0.0
1481561751797924218,532,1481561751796666671,,10.0,0.0
1481561751818893031,533,1481561751817289340,,10.0,0.0
1481561751839544657,534,1481561751837703363,,10.0,0.0
1481561751855982397,535,1481561751854450320,,10.0,0.0
1481561751876404285,536,1481561751874310023,,10.0,0.0
