%time,field.header.seq,field.header.stamp,field.header.frame_id,field.temperature,field.variance
1479745220035074658,299,1479745220024696837,,1475.0,1380.0
1479745220046187528,300,1479745220038143968,,1477.0,1380.0
1479745220063543861,301,1479745220057546178,,1477.0,1380.0
1479745220080691028,302,1479745220077569218,,1474.0,1440.0
1479745220100700474,303,1479745220097567623,,1475.0,1440.0
1479745220120357683,304,1479745220117573893,,1475.0,1440.0
1479745220141488740,305,1479745220137616308,,1475.0,1440.0
1479745220162789223,306,1479745220157559609,,1477.0,1440.0
1479745220182678357,307,1479745220177544733,,1478.0,1440.0
1479745220203407957,308,1479745220197565274,,1478.0,1380.0
1479745220223094749,309,1479745220217560658,,1477.0,1380.0
1479745220242973624,310,1479745220237580730,,1477.0,1440.0
1479745220262005835,311,1479745220257663874,,1475.0,1440.0
1479745220281252004,312,1479745220277561967,,1477.0,1440.0
1479745220300627651,313,1479745220297593393,,1477.0,1440.0
1479745220322219852,314,1479745220317581850,,1477.0,1440.0
1479745220342198153,315,1479745220337556610,,1477.0,1440.0
1479745220363196033,316,1479745220357578296,,1477.0,1440.0
1479745220383257042,317,1479745220378647999,,1477.0,1440.0
1479745220402374305,318,1479745220397572450,,1475.0,1440.0
1479745220422460418,319,1479745220417582730,,1477.0,1440.0
1479745220442529917,320,1479745220437591135,,1478.0,1380.0
1479745220462840664,321,1479745220457849748,,1475.0,1380.0
1479745220483127662,322,1479745220477591487,,1475.0,1440.0
1479745220502637111,323,1479745220497578538,,1476.0,1440.0
1479745220523902385,324,1479745220519382196,,1476.0,1380.0
1479745220542464130,325,1479745220537575661,,1475.0,1380.0
1479745220562983210,326,1479745220557858388,,1477.0,1440.0
1479745220582676200,327,1479745220577820179,,1478.0,1440.0
1479745220602520856,328,1479745220597578116,,1474.0,1380.0
1479745220622521657,329,1479745220617566886,,1478.0,1380.0
1479745220642780061,330,1479745220637839665,,1474.0,1380.0
1479745220664461167,331,1479745220657864893,,1475.0,1380.0
1479745220682064426,332,1479745220677561685,,1475.0,1380.0
1479745220701429292,333,1479745220697531965,,1476.0,1380.0
1479745220719809527,334,1479745220717548130,,1477.0,1440.0
1479745220739659287,335,1479745220737587473,,1475.0,1440.0
1479745220759771129,336,1479745220757579472,,1476.0,1380.0
1479745220780872811,337,1479745220777579543,,1476.0,1380.0
1479745220800354760,338,1479745220797589563,,1476.0,1380.0
1479745220819968427,339,1479745220817560156,,1473.0,1380.0
1479745220845680089,340,1479745220837577259,,1477.0,1380.0
1479745220864361990,341,1479745220857576445,,1477.0,1380.0
1479745220884279093,342,1479745220877577663,,1475.0,1380.0
1479745220904623851,343,1479745220897579818,,1477.0,1380.0
1479745220924514444,344,1479745220917565880,,1477.0,1440.0
1479745220944537484,345,1479745220937593087,,1475.0,1440.0
1479745220964300891,346,1479745220957570867,,1477.0,1380.0
1479745220985689602,347,1479745220977560210,,1477.0,1380.0
1479745220999649439,348,1479745220997576896,,1475.0,1440.0
1479745221021271431,349,1479745221019301231,,1478.0,1440.0
1479745221042113583,350,1479745221037596362,,1477.0,1380.0
1479745221064124948,351,1479745221057559820,,1477.0,1380.0
1479745221080402796,352,1479745221077579318,,1475.0,1440.0
1479745221100433389,353,1479745221097599442,,1476.0,1440.0
1479745221120921479,354,1479745221117641649,,1475.0,1380.0
1479745221142910605,355,1479745221137572086,,1475.0,1380.0
1479745221163015312,356,1479745221157742417,,1477.0,1380.0
1479745221182400699,357,1479745221177595927,,1477.0,1380.0
1479745221204404200,358,1479745221197597301,,1476.0,1440.0
1479745221225138800,359,1479745221217564769,,1477.0,1440.0
1479745221242586382,360,1479745221237598226,,1474.0,1380.0
1479745221263504210,361,1479745221258859178,,1474.0,1380.0
1479745221281690957,362,1479745221277585818,,1477.0,1380.0
1479745221303162845,363,1479745221297616098,,1477.0,1380.0
1479745221322825002,364,1479745221317676482,,1477.0,1380.0
1479745221344761836,365,1479745221337862178,,1477.0,1380.0
1479745221361407287,366,1479745221357570480,,1478.0,1380.0
1479745221381426785,367,1479745221377578885,,1477.0,1380.0
1479745221402342322,368,1479745221399083638,,1477.0,1380.0
1479745221421641616,369,1479745221417568404,,1475.0,1380.0
1479745221442721318,370,1479745221437573215,,1477.0,1440.0
1479745221461935925,371,1479745221457559329,,1477.0,1440.0
1479745221482421463,372,1479745221477551432,,1477.0,1440.0
1479745221505188607,373,1479745221497584524,,1477.0,1440.0
1479745221522076921,374,1479745221517533815,,1476.0,1380.0
1479745221543945839,375,1479745221537560762,,1478.0,1380.0
1479745221562195658,376,1479745221557563229,,1478.0,1440.0
1479745221581806304,377,1479745221577556009,,1476.0,1440.0
1479745221602203301,378,1479745221597647383,,1478.0,1380.0
1479745221623989355,379,1479745221617561830,,1477.0,1380.0
1479745221642129070,380,1479745221637536537,,1477.0,1380.0
1479745221664303299,381,1479745221657563692,,1475.0,1380.0
