%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1479745220033605758,98,1479745219916580419,,-18.2379589081,-2.63195133209,-119.723869324,0.00492200022563,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-2.19512200356,-7.19512224197,2.74390244484,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.07739082014,-0.46447512207,10.405200415,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1479745220033645653,99,1479745219950942357,,-17.8056411743,-2.8610188961,-119.441253662,0.0012379999971,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.40243899822,1.95121955872,5.36585378647,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.12048637695,-0.986411083984,9.83538041992,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1479745220034667055,100,1479745219987325432,,-17.2662963867,-2.99146747589,-119.489433289,0.002431999892,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.52439022064,-0.304878056049,0.792682945728,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.407014282227,-0.344765039063,9.64863327495,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1479745220035021429,101,1479745220022825074,,-16.6735725403,-3.17711734772,-119.338729858,0.0016609999584,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.70731711388,-8.5365858078,4.51219558716,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.72938989258,-0.684741674805,10.1514150391,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1479745220061882513,102,1479745220057606750,,-16.3838310242,-3.31310749054,-119.176132202,0.00104000000283,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.15853655338,1.2195122242,2.19512200356,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.93930334473,-0.282515795898,9.96466730957,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1479745220093480245,103,1479745220092389364,,-15.8775863647,-3.43742370605,-119.128349304,0.00127899996005,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.914634168148,8.41463470459,1.46341466904,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.74297880859,-0.742202514648,10.3716815918,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1479745220134494030,104,1479745220131281179,,-15.0098428726,-3.57647681236,-119.089729309,0.00349700008519,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-2.01219511032,9.81707286835,-1.40243899822,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0239420166016,-0.45489831543,10.3525279785,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1479745220165948116,105,1479745220164709735,,-14.2148113251,-3.66343092918,-119.104980469,0.00160900002811,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.670731723309,10.7317075729,-1.64634156227,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.26012636719,0.0383072265625,10.5105452881,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1479745220203264989,106,1479745220199274537,,-13.6047325134,-3.74777245522,-119.321144104,0.00120499997865,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-3.47560977936,15.1829271317,-12.3780488968,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.43652099609,-0.517147558594,10.553640918,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1479745220235051886,107,1479745220233791527,,-12.3065881729,-3.79489827156,-119.682693481,0.00121699995361,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-3.17073178291,17.6219520569,0.365853667259,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-3.00711728516,-0.469263525391,9.193734375,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
