%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1481789597143440397,71,1481789596902014533,,18.3092308044,-13.9168663025,137.354095459,0.0011190000223,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-2.25609779358,0.18292683363,1.52439022064,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.100556469727,-0.847547387695,10.0939541992,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1481789597143516230,72,1481789596944867459,,17.6166954041,-13.6814393997,137.589752197,0.0012080000015,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-2.19512200356,0.792682945728,1.2195122242,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.15801730957,-0.799663354492,10.1131078125,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1481789597143550553,73,1481789596989147717,,16.9542121887,-13.4570951462,137.821182251,0.00190699996892,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-2.31707310677,0.243902444839,1.46341466904,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.110133276367,-0.861912597656,10.0700121826,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1481789597143717166,74,1481789597029822067,,16.3410053253,-13.242855072,138.037155151,0.00118799996562,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-2.01219511032,0.792682945728,1.15853655338,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0478840332031,-0.852335791016,10.060435376,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1481789597143849300,75,1481789597072331455,,15.7387304306,-13.0491371155,138.250106812,0.0011040000245,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-2.31707310677,0.487804889679,1.2804877758,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0430956298828,-0.933738647461,10.180145459,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1481789597144032059,76,1481789597114685896,,15.163520813,-12.8549404144,138.455978394,0.00127500004601,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-2.19512200356,0.304878056049,1.2804877758,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0526724365234,-0.885854614258,10.1849338623,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1481789597158163401,77,1481789597156533102,,14.5909404755,-12.6722393036,138.657562256,0.00129399995785,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-2.13414645195,0.548780500889,1.46341466904,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.162805712891,-0.91458503418,9.97424411621,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1481789597200913255,78,1481789597199385768,,14.0532150269,-12.5078516006,138.849502563,0.00117399997544,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-2.01219511032,0.243902444839,1.2804877758,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0718260498047,-0.847547387695,10.1322614258,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1481789597246213244,79,1481789597241275004,,13.5405635834,-12.3541059494,139.039321899,0.000975999981165,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-2.01219511032,0.548780500889,1.34146344662,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0383072265625,-0.842758984375,10.0029745361,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1481789597285465055,80,1481789597283775746,,13.046497345,-12.2049179077,139.223953247,0.00113099999726,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-2.07317066193,0.304878056049,1.2195122242,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0526724365234,-0.861912597656,10.0173397461,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1481789597327360802,81,1481789597326091906,,12.5719423294,-12.0608024597,139.405181885,0.00102600001264,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-2.25609779358,0.18292683363,1.34146344662,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.067037651051,-0.794874951172,10.060435376,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1481789597371446530,82,1481789597368432493,,12.1116218567,-11.9220628738,139.58253479,0.000968999986071,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.95121955872,0.487804889679,1.34146344662,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.00478840332031,-0.852335791016,10.0317049561,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1481789597416324857,83,1481789597414403727,,11.6561145782,-11.7874174118,139.762237549,0.00313000008464,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-2.19512200356,0.548780500889,1.64634156227,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0287304199219,-0.809240161133,10.1466266357,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1481789597456527753,84,1481789597454628290,,11.2381420135,-11.6632423401,139.933746338,0.00267899991013,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-2.19512200356,0.487804889679,1.64634156227,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0239420166016,-0.900219824219,9.95030209961,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1481789597500052861,85,1481789597497823140,,10.8315067291,-11.5449066162,140.103820801,0.00139899994247,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-2.25609779358,0.609756112099,1.40243899822,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0143652099609,-0.861912597656,10.0652237793,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1481789597541712985,86,1481789597540174144,,10.4364061356,-11.4340705872,140.270294189,0.00145800004248,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-2.25609779358,0.243902444839,1.52439022064,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0718260498047,-0.9193734375,9.91678327637,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1481789597584227737,87,1481789597582393534,,10.0612020493,-11.3324232101,140.433242798,0.000972000008915,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-2.25609779358,0.18292683363,1.52439022064,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0574608398438,-0.952892260742,10.0125513428,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1481789597626122703,88,1481789597624023450,,9.70487499237,-11.2314758301,140.593078613,0.000968999986071,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-2.13414645195,0.609756112099,1.34146344662,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0239420166016,-0.837970581055,9.93593688965,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1481789597669193648,89,1481789597666302474,,9.3610124588,-11.1392583847,140.749862671,0.000972000008915,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-2.31707310677,0.365853667259,1.58536589146,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0191536132812,-0.885854614258,10.0508585693,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
